,hrv_value.timestamp
0,
1,
2,
3,
4,
5,
6,2024-08-02 23:33:07
7,2024-08-02 23:38:07
8,2024-08-02 23:43:07
9,2024-08-02 23:48:07
10,2024-08-02 23:53:07
11,2024-08-02 23:58:07
12,2024-08-03 00:03:07
13,2024-08-03 00:08:07
14,2024-08-03 00:13:07
15,2024-08-03 00:18:07
16,2024-08-03 00:23:07
17,2024-08-03 00:28:07
18,2024-08-03 00:33:07
19,2024-08-03 00:38:07
20,2024-08-03 00:43:07
21,2024-08-03 00:48:07
22,2024-08-03 00:53:07
23,2024-08-03 00:58:07
24,2024-08-03 01:03:07
25,2024-08-03 01:08:07
26,2024-08-03 01:13:07
27,2024-08-03 01:18:07
28,2024-08-03 01:23:07
29,2024-08-03 01:28:07
30,2024-08-03 01:33:07
31,2024-08-03 01:38:07
32,2024-08-03 01:43:07
33,2024-08-03 01:48:07
34,2024-08-03 01:53:07
35,2024-08-03 01:58:07
36,2024-08-03 02:03:07
37,2024-08-03 02:08:07
38,2024-08-03 02:13:07
39,2024-08-03 02:18:07
40,2024-08-03 02:23:07
41,2024-08-03 02:28:07
42,2024-08-03 02:33:07
43,2024-08-03 02:38:07
44,2024-08-03 02:43:07
45,2024-08-03 02:48:07
46,2024-08-03 02:53:07
47,2024-08-03 02:58:07
48,2024-08-03 03:03:07
49,2024-08-03 03:08:07
50,2024-08-03 03:13:07
51,2024-08-03 03:18:07
52,2024-08-03 03:23:07
53,2024-08-03 03:28:07
54,2024-08-03 03:33:07
55,2024-08-03 03:38:07
56,2024-08-03 03:43:07
57,2024-08-03 03:48:07
58,2024-08-03 03:53:07
59,2024-08-03 03:58:07
60,2024-08-03 04:03:07
61,2024-08-03 04:08:07
62,2024-08-03 04:13:07
63,2024-08-03 04:18:07
64,2024-08-03 04:23:07
65,2024-08-03 04:28:07
66,2024-08-03 04:33:07
67,2024-08-03 04:38:07
68,2024-08-03 04:43:07
69,2024-08-03 04:48:07
70,2024-08-03 04:53:07
71,2024-08-03 04:58:07
72,2024-08-03 05:03:07
73,2024-08-03 05:08:07
74,2024-08-03 05:13:07
75,2024-08-03 05:18:07
76,2024-08-03 05:23:07
77,2024-08-03 05:28:07
78,2024-08-03 05:33:07
79,2024-08-03 05:38:07
80,2024-08-03 05:43:07
81,2024-08-03 05:48:07
82,2024-08-03 05:53:07
83,2024-08-03 05:58:07
84,2024-08-03 06:03:07
85,2024-08-03 06:08:07
86,2024-08-03 06:13:07
87,2024-08-03 06:18:07
88,2024-08-03 06:23:07
89,2024-08-03 06:28:07
90,2024-08-03 06:33:07
91,2024-08-03 06:38:07
92,2024-08-03 06:38:07
93,2024-08-03 06:38:07
